,nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,HD,HD_diff,HD_equal,init_calc,init_date,age_diff,init_diff,hatch_diff,camera_old,camera,missing,cam_fate_feb,nest_age_feb,final_obs_int_feb,field_fate,field_fate2,field_fate3,field_fate4,cam_fate1,cam_fate2,final_fate1,final_fate2,nest_age1,nest_age2,final_obs_int,final_obs_int2,final_obs_int3,final_obs_date,final_obs_date2,species,likely_failed,HF,HF_C,HF_MC,MC,marked_U,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
0,10001,ROCK,2019,29.67155,-92.85596,0,0,none,,34,34,0,TRUE,,6,0,0,,N,N,,,12,8,S,S,S,S,,,S,S,12,12,8,8,8,18,18,WIPL,1,0,0,FALSE,TRUE,FALSE,10,10,10,18,18,,,2,8,0,3E,fail,10|18,3E|fail,0|8,,,"24 Apr- 1 egg, 9d, 2 eggs 5d. 28-Apr: nest washed out, 1 egg looked like new nest, but floating showed >1 day old (probably washed out of nest) no stick or cup"
1,10002,ROJH,2019,29.63637,-92.7708,0,0,none,,43,43,0,TRUE,,15,0,0,,N,N,,,11,6,D,D,D,D,,,D,D,11,11,6,6,6,26,26,WIPL,1,0,0,FALSE,TRUE,FALSE,12,20,20,26,26,,,3,14,0,3E,fail,12|20|26,1E|3E|fail,0|8|6,,,"evidence of coyote and GC in the area, but cannot define predator"
2,10003,ROJH,2019,29.63737,-92.77457,0,0,none,,31,31,0,TRUE,,3,0,0,,N,N,,,17,8,S,S,S,S,,,S,S,17,17,8,8,8,20,20,WIPL,1,0,0,FALSE,TRUE,FALSE,12,12,12,20,20,,,2,8,0,3E,fail,12|20,3E|fail,0|8,,,"22 Apr, 1 egg, 9d, 2 eggs at 5d. 30 Apr, nest empty, stick gone. Clear signs of storm surge with photo. "
3,10004,ROCK,2019,29.67027,-92.85163,0,5,none,,39,39,0,TRUE,,11,0,0,,N,N,,,7,4,S,S,S,S,,,S,S,7,7,4,4,4,18,18,WIPL,1,0,0,FALSE,TRUE,FALSE,14,14,14,18,18,,,2,4,0,2E,fail,14|18,2E|fail,0|4,,,"24 Apr- 2 eggs, 5d. 28-Apr: nest washed out, 1 egg in wrack, no stick or nest cup"
4,10005,RUTW,2019,29.76678,-93.16026,20,30,none,,45,45,0,TRUE,,17,0,0,,N,N,,,2,3,A,A,A,A,,,A,A,2,2,3,3,3,19,19,WIPL,1,0,0,FALSE,TRUE,FALSE,16,16,16,19,19,,,2,3,0,2E,fail,16|19,2E|fail,0|3,,,29 Apr- nest abandoned with 2 eggs abandoned due to cattle disturbance
5,10006,RUTW,2019,29.76756,-93.16419,5,20,none,,45,44,1,FALSE,,16,1,0,,N,N,,,27,4,H,H,H,H,,,H,H,28,27,4,4,0,44,44,WIPL,0,1,0,TRUE,TRUE,FALSE,16,44,44,44,44,,,8,28,0,3E,"2C, 1E",16|19|23|26|29|35|40|44,"2E|3E|3E|3E|3E|3E|3E|2C, 1E",0|3|4|3|3|6|5|4,,,"24 May- KBB 2 chicks in nest, 1 egg starring. Banded the 2 chicks at nest, adults present."
6,10007,RUTW,2019,29.77011,-93.17724,5,20,sym,,,38,,FALSE,,,,0,,N,N,,,,1,H,H,H,H,,,H,H,,,1,1,0,38,38,SNPL,,1,0,TRUE,TRUE,FALSE,16,38,38,38,38,,,10,22,,"3E, 1E pipped","2C, 1E hatch day",16|19|23|26|29|32|33|35|37|38,"3E|3E|3E|3E|3E|BON|BON|3E|3E, 1E pipped|2C, 1E hatch day",0|3|4|3|3|3|1|2|2|1,,,KBB nest hatched May 18- female brooding chicks at nest scrape. Both adults observed at nest on hatch day.
7,10008,RUTW,2019,29.77064,-93.1806,20,15,none,,45,41,4,FALSE,,13,7,2,,N,N,,,24,1,H,H,H,H,,,H,H,31,27,3,3,3,44,44,WIPL,0,1,0,TRUE,TRUE,FALSE,16,41,41,41,41,,,9,28,0,hatch day,0E,16|19|23|26|29|35|40|41|44,2E|3E|3E|3E|nest behavior|3E|3E|hatch day|0E,0|3|4|3|3|6|5|1|3,,,24 May- KBB nest empty but adult behavior and 2C observed at 1-4 days of age. One chick was banded at the shoreline. Pretty confident this was a successful nest.
8,10009,RUTW,2019,29.76413,-93.14734,5,10,none,,38,38,0,TRUE,,19,0,0,,N,N,,,6,3,F,F,F,F,,,F,F,6,6,3,3,3,25,25,LETE,1,0,0,FALSE,TRUE,FALSE,17,22,22,25,25,,,3,8,0,2E,empty,17|22|25,2E|2E|empty,0|5|3,,,no eggs or adult behavior near nest scrape. Cattle tracks and ghost crabs present.
9,10010,RUTW,2019,29.76166,-93.13636,0,5,none,,37,37,0,TRUE,,18,0,0,,N,N,,,19,3,F,F,F,F,,,F,F,19,19,3,3,3,37,37,LETE,0,0,0,FALSE,TRUE,FALSE,17,34,34,37,37,,,7,20,0,cracked,fail,17|22|25|26|29|34|37,1E|BON|2E|BON|BON|cracked|fail,0|5|3|1|3|5|3,,,wondering about an avian predator? No adults giving signs of a hatch. No adult at nest on May 17.
10,10012,RUTW,2019,29.76781,-93.16521,0,0,none,,37,40,3,FALSE,,21,3,0,,N,N,,,22,5,H,H,H,H,,,H,H,19,22,5,5,0,40,40,LETE,0,1,0,TRUE,TRUE,FALSE,19,40,40,40,40,,,5,21,1,2E,2C,19|23|26|35|40,2E|2E|2E|2E|2C,0|4|3|9|5,,,
11,10013,RUTW,2019,29.76876,-93.17068,10,15,none,,47,40,7,FALSE,,12,7,16,,N,N,,,21,5,H,H,H,H,,,H,H,28,21,5,21,0,40,40,WIPL,1,1,0,TRUE,TRUE,FALSE,19,40,40,40,40,,,5,21,0,?,cheeping,19|23|26|35|40,2E|not locate|not locate|?|cheeping,0|4|3|9|5,,," adults present, ""nesty"". could not find nest in veg"
