,nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,HD,HD_diff,HD_equal,init_calc,init_date,age_diff,init_diff,hatch_diff,camera_old,camera,missing,cam_fate_feb,nest_age_feb,final_obs_int_feb,field_fate,field_fate2,field_fate3,field_fate4,field_fate5,field_fate6,field_fate7,field_fate_eq,cam_fate1,cam_fate2,final_fate1,final_fate2,nest_age1,nest_age2,final_obs_int,final_obs_int2,final_obs_int3,final_obs_date,final_obs_date2,species,likely_failed,HF,HF_C,HF_MC,MC,marked_U,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
0,10001.0,ROCK,2019,29.67155,-92.85596,0.0,0.0,none,,34.0,34.0,0.0,True,,6.0,0.0,0.0,,N,N,,,12.0,8.0,S,S,S,S,S,S,S,False,,,S,S,12.0,12.0,8.0,8.0,8,18,18,WIPL,1.0,0,0.0,False,True,False,10.0,10,10,18,18,,,2,8.0,0.0,3E,fail,10|18,3E|fail,0|8,,,"24 Apr- 1 egg, 9d, 2 eggs 5d. 28-Apr: nest washed out, 1 egg looked like new nest, but floating showed >1 day old (probably washed out of nest) no stick or cup"
1,10002.0,ROJH,2019,29.63637,-92.7708,0.0,0.0,none,,43.0,43.0,0.0,True,,15.0,0.0,0.0,,N,N,,,11.0,6.0,D,D,D,D,D,D,D,False,,,D,D,11.0,11.0,6.0,6.0,6,26,26,WIPL,1.0,0,0.0,False,True,False,12.0,20,20,26,26,,,3,14.0,0.0,3E,fail,12|20|26,1E|3E|fail,0|8|6,,,"evidence of coyote and GC in the area, but cannot define predator"
2,10003.0,ROJH,2019,29.63737,-92.77457,0.0,0.0,none,,31.0,31.0,0.0,True,,3.0,0.0,0.0,,N,N,,,17.0,8.0,S,S,S,S,S,S,S,False,,,S,S,17.0,17.0,8.0,8.0,8,20,20,WIPL,1.0,0,0.0,False,True,False,12.0,12,12,20,20,,,2,8.0,0.0,3E,fail,12|20,3E|fail,0|8,,,"22 Apr, 1 egg, 9d, 2 eggs at 5d. 30 Apr, nest empty, stick gone. Clear signs of storm surge with photo. "
3,10004.0,ROCK,2019,29.67027,-92.85163,0.0,5.0,none,,39.0,39.0,0.0,True,,11.0,0.0,0.0,,N,N,,,7.0,4.0,S,S,S,S,S,S,S,False,,,S,S,7.0,7.0,4.0,4.0,4,18,18,WIPL,1.0,0,0.0,False,True,False,14.0,14,14,18,18,,,2,4.0,0.0,2E,fail,14|18,2E|fail,0|4,,,"24 Apr- 2 eggs, 5d. 28-Apr: nest washed out, 1 egg in wrack, no stick or nest cup"
4,10005.0,RUTW,2019,29.76678,-93.16026,20.0,30.0,none,,45.0,45.0,0.0,True,,17.0,0.0,0.0,,N,N,,,2.0,3.0,A,A,A,A,A,A,A,False,,,A,A,2.0,2.0,3.0,3.0,3,19,19,WIPL,1.0,0,0.0,False,True,False,16.0,16,16,19,19,,,2,3.0,0.0,2E,fail,16|19,2E|fail,0|3,,,29 Apr- nest abandoned with 2 eggs abandoned due to cattle disturbance
5,10006.0,RUTW,2019,29.76756,-93.16419,5.0,20.0,none,,45.0,44.0,1.0,False,,16.0,1.0,0.0,,N,N,,,27.0,4.0,H,H,H,H,H,H,H,False,,,H,H,28.0,27.0,4.0,4.0,0,44,44,WIPL,0.0,1,0.0,True,True,False,16.0,44,44,44,44,,,8,28.0,0.0,3E,"2C, 1E",16|19|23|26|29|35|40|44,"2E|3E|3E|3E|3E|3E|3E|2C, 1E",0|3|4|3|3|6|5|4,,,"24 May- KBB 2 chicks in nest, 1 egg starring. Banded the 2 chicks at nest, adults present."
6,10007.0,RUTW,2019,29.77011,-93.17724,5.0,20.0,sym,,,38.0,,False,,,,0.0,,N,N,,,,1.0,H,H,H,H,H,H,H,False,,,H,H,,,1.0,1.0,0,38,38,SNPL,,1,0.0,True,True,False,16.0,38,38,38,38,,,10,22.0,,"3E, 1E pipped","2C, 1E hatch day",16|19|23|26|29|32|33|35|37|38,"3E|3E|3E|3E|3E|BON|BON|3E|3E, 1E pipped|2C, 1E hatch day",0|3|4|3|3|3|1|2|2|1,,,KBB nest hatched May 18- female brooding chicks at nest scrape. Both adults observed at nest on hatch day.
7,10008.0,RUTW,2019,29.77064,-93.1806,20.0,15.0,none,,45.0,41.0,4.0,False,,13.0,7.0,2.0,,N,N,,,24.0,1.0,H,H,H,H,H,H,H,False,,,H,H,31.0,27.0,3.0,3.0,3,44,44,WIPL,0.0,1,0.0,True,True,False,16.0,41,41,41,41,,,9,28.0,0.0,hatch day,0E,16|19|23|26|29|35|40|41|44,2E|3E|3E|3E|nest behavior|3E|3E|hatch day|0E,0|3|4|3|3|6|5|1|3,,,24 May- KBB nest empty but adult behavior and 2C observed at 1-4 days of age. One chick was banded at the shoreline. Pretty confident this was a successful nest.
8,10009.0,RUTW,2019,29.76413,-93.14734,5.0,10.0,none,,38.0,38.0,0.0,True,,19.0,0.0,0.0,,N,N,,,6.0,3.0,F,F,F,F,F,F,F,False,,,F,F,6.0,6.0,3.0,3.0,3,25,25,LETE,1.0,0,0.0,False,True,False,17.0,22,22,25,25,,,3,8.0,0.0,2E,empty,17|22|25,2E|2E|empty,0|5|3,,,no eggs or adult behavior near nest scrape. Cattle tracks and ghost crabs present.
9,10010.0,RUTW,2019,29.76166,-93.13636,0.0,5.0,none,,37.0,37.0,0.0,True,,18.0,0.0,0.0,,N,N,,,19.0,3.0,F,F,F,F,F,F,F,False,,,F,F,19.0,19.0,3.0,3.0,3,37,37,LETE,0.0,0,0.0,False,True,False,17.0,34,34,37,37,,,7,20.0,0.0,cracked,fail,17|22|25|26|29|34|37,1E|BON|2E|BON|BON|cracked|fail,0|5|3|1|3|5|3,,,wondering about an avian predator? No adults giving signs of a hatch. No adult at nest on May 17.
10,10012.0,RUTW,2019,29.76781,-93.16521,0.0,0.0,none,,37.0,40.0,3.0,False,,21.0,3.0,0.0,,N,N,,,22.0,5.0,H,H,H,H,H,H,H,False,,,H,H,19.0,22.0,5.0,5.0,0,40,40,LETE,0.0,1,0.0,True,True,False,19.0,40,40,40,40,,,5,21.0,0.0,2E,2C,19|23|26|35|40,2E|2E|2E|2E|2C,0|4|3|9|5,,,
11,10013.0,RUTW,2019,29.76876,-93.17068,10.0,15.0,none,,47.0,40.0,7.0,False,,12.0,7.0,16.0,,N,N,,,21.0,5.0,H,H,H,H,H,H,H,False,,,H,H,28.0,21.0,5.0,21.0,0,40,40,WIPL,1.0,1,0.0,True,True,False,19.0,40,40,40,40,,,5,21.0,0.0,?,cheeping,19|23|26|35|40,2E|not locate|not locate|?|cheeping,0|4|3|9|5,,," adults present, ""nesty"". could not find nest in veg"
12,10014.0,ROJH,2019,29.63622,-92.76917,0.0,0.0,sym,,41.0,41.0,0.0,True,,22.0,0.0,0.0,,N,N,,,4.0,6.0,D,D,D,D,D,D,D,False,,,D,D,4.0,4.0,6.0,6.0,6,26,26,LETE,1.0,0,0.0,False,True,False,20.0,20,20,26,26,,,2,6.0,0.0,1E,fail,20|26,1E|fail,0|6,,,"empty scrape, coyote and GC evidence around"
13,10015.0,ROJH,2019,29.63618,-92.76921,0.0,0.0,sym,,40.0,40.0,0.0,True,,21.0,0.0,0.0,,N,N,,,5.0,6.0,D,D,D,D,D,D,D,False,,,D,D,5.0,5.0,6.0,6.0,6,26,26,LETE,1.0,0,0.0,False,True,False,20.0,20,20,26,26,,,2,6.0,0.0,2E,fail,20|26,2E|fail,0|6,,,"empty scrape, coyote and GC evidence around"
14,10016.0,ROJH,2019,29.63626,-92.76968,0.0,0.0,sym,,41.0,41.0,0.0,True,,22.0,0.0,0.0,,N,N,,,4.0,6.0,D,D,D,D,D,D,D,False,,,D,D,4.0,4.0,6.0,6.0,6,26,26,LETE,1.0,0,0.0,False,True,False,20.0,20,20,26,26,,,2,6.0,0.0,1E,fail,20|26,1E|fail,0|6,,,"empty scrape, coyote and GC evidence around"
15,10017.0,ROJH,2019,29.6363,-92.77002,0.0,0.0,sym,,37.0,37.0,0.0,True,,21.0,0.0,0.0,,N,N,,,12.0,5.0,S,S,S,S,S,S,S,False,,,S,S,12.0,12.0,5.0,5.0,5,33,33,CONI,1.0,0,0.0,False,True,False,20.0,28,28,33,33,,,4,13.0,0.0,2E,fail,20|26|28|33,1E|2E|2E|fail,0|6|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
16,10018.0,ROJH,2019,29.63759,-92.76788,0.0,0.0,sym,,,,,True,,,,0.0,,N,N,,,,6.0,D,D,D,D,D,D,D,False,,,D,D,,,6.0,6.0,6,26,26,WIPL,,0,0.0,False,True,False,20.0,20,20,26,26,,,2,6.0,,3E,fail,20|26,3E|fail,0|6,,,"GC hole nearby, but unsure of predator type. the pair is scraping and preparing for a renest."
17,10019.0,ROCK,2019,29.66025,-92.82622,0.0,0.0,none,,53.0,53.0,0.0,True,,25.0,0.0,5.0,,N,N,,,6.0,3.0,S,S,S,S,S,S,S,False,,,S,S,6.0,6.0,3.0,8.0,8,31,31,WIPL,1.0,0,0.0,False,True,False,23.0,23,23,31,31,,,3,8.0,0.0,not check,fail,23|28|31,1E|not check|fail,0|5|3,,,strong south winds and storms
18,10020.0,ROCK,2019,29.66985,-92.85088,5.0,10.0,none,,38.0,38.0,0.0,True,,22.0,0.0,0.0,,N,N,,,9.0,3.0,S,S,S,S,S,S,S,False,,,S,S,9.0,9.0,3.0,3.0,3,31,31,CONI,1.0,0,0.0,False,True,False,23.0,28,28,31,31,,,3,8.0,0.0,2E,fail,23|28|31,2E|2E|fail,0|5|3,,,strong south winds and storms
19,10021.0,RUTW,2019,29.7615,-93.13543,,,sym,,42.0,42.0,0.0,True,,23.0,0.0,0.0,,N,N,,,16.0,5.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,16.0,16.0,5.0,5.0,5,39,39,LETE,1.0,0,0.0,False,True,False,25.0,34,34,39,39,,,6,14.0,0.0,BON,0E,25|29|32|33|34|39,2E|BON|BON|3E|BON|0E,0|4|3|1|1|5,,,
20,10022.0,RUTW,2019,29.7615,-93.13557,,,sym,,42.0,42.0,0.0,True,,23.0,0.0,0.0,,N,N,,,16.0,5.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,16.0,16.0,5.0,5.0,5,39,39,LETE,1.0,0,0.0,False,True,False,25.0,34,34,39,39,,,7,14.0,0.0,2E,0E,25|26|29|32|33|34|39,2E|BON|BON|BON|2E|2E|0E,0|1|3|3|1|1|5,,,
