"","allData.nest","allData.NOTES","allData.cam_notes","allData.new_notes"
"1","10001","24 Apr- 1 egg, 9d, 2 eggs 5d. 28-Apr: nest washed out, 1 egg looked like new nest, but floating showed >1 day old (probably washed out of nest) no stick or cup",NA,NA
"2","10002","evidence of coyote and GC in the area, but cannot define predator",NA,NA
"3","10003","22 Apr, 1 egg, 9d, 2 eggs at 5d. 30 Apr, nest empty, stick gone. Clear signs of storm surge with photo. ",NA,NA
"4","10004","24 Apr- 2 eggs, 5d. 28-Apr: nest washed out, 1 egg in wrack, no stick or nest cup",NA,NA
"5","10005","29 Apr- nest abandoned with 2 eggs abandoned due to cattle disturbance",NA,NA
"6","10006","24 May- KBB 2 chicks in nest, 1 egg starring. Banded the 2 chicks at nest, adults present.",NA,NA
"7","10007","KBB nest hatched May 18- female brooding chicks at nest scrape. Both adults observed at nest on hatch day.",NA,NA
"8","10008","24 May- KBB nest empty but adult behavior and 2C observed at 1-4 days of age. One chick was banded at the shoreline. Pretty confident this was a successful nest.",NA,NA
"9","10009","no eggs or adult behavior near nest scrape. Cattle tracks and ghost crabs present.",NA,NA
"10","10010","wondering about an avian predator? No adults giving signs of a hatch. No adult at nest on May 17.",NA,NA
"11","10011",NA,NA,NA
"12","10012",NA,NA,NA
"13","10013"," adults present, ""nesty"". could not find nest in veg",NA,NA
"14","10014","empty scrape, coyote and GC evidence around",NA,NA
"15","10015","empty scrape, coyote and GC evidence around",NA,NA
"16","10016","empty scrape, coyote and GC evidence around",NA,NA
"17","10017","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"18","10018","GC hole nearby, but unsure of predator type. the pair is scraping and preparing for a renest.",NA,NA
"19","10019","strong south winds and storms",NA,NA
"20","10020","strong south winds and storms",NA,NA
"21","10021",NA,NA,NA
"22","10022",NA,NA,NA
"23","10023",NA,NA,NA
"24","10024",NA,NA,NA
"25","10025",NA,NA,NA
"26","10026",NA,NA,NA
"27","10027",NA,NA,NA
"28","10028",NA,NA,NA
"29","10029",NA,NA,NA
"30","10030","trampled overnight by herd of cattle observed in fenced area on 13 May",NA,NA
"31","10031","trampled overnight by herd of cattle observed in fenced area on 13 May",NA,NA
"32","10032","trampled by cattle",NA,NA
"33","10033","trampled overnight by herd of cattle observed in fenced area on 13 May","changing 108 to this one based on timing. I was out there 9-May, 15-May, and 20-May, but then again was not there 14-May (on plane)","but also should be before 257, which started 5-15, and was on same card? Unless I changed the camera on 5-20?"
"34","10034","trampled overnight by herd of cattle observed in fenced area on 13 May",NA,NA
"35","10035","cattle disturbance on May 13; 5/23: stick knocked over",NA,NA
"36","10036",NA,NA,NA
"37","10037","trampled overnight by herd of cattle observed in fenced area on 13 May",NA,NA
"38","10038","5/23: SB found stick, nest has 3 trampled eggs",NA,NA
"39","10039",NA,NA,NA
"40","10040",NA,NA,NA
"41","10041",NA,NA,NA
"42","10042",NA,NA,NA
"43","10043","9-May loose egg spotted outside of nest scrape. Cattle tracks all around the area and no LETE activity here",NA,NA
"44","10044","cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.",NA,NA
"45","10045","cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.",NA,NA
"46","10046","nest placement was below wrack line. 8 May- constant south winds brought surge with storms approaching late May 9th into May 10th.",NA,NA
"47","10047","when was camera placed?/picked up?","bird was there until <1 hour before cam pulled on day 13 (1/2 3:11AM - 1/15 10:20AM)","not long enough to incubate, right? Also big time gap between ""1/13"" and ""1/15"" (last day) where cam never fires"
"48","10048","28 May- KBB adult above me. No nest stick or eggs. Possibly chick but heavy Memorial day traffic did a lot of damage to this area.","thought this was 047. unclear if hatched before ppl started a fire near it. Bird comes back regularly afterward and stays","seems like if had chick, would have gotten out of there and not come back"
"49","10049","28 May- likely failed from Memorial Day traffic",NA,NA
"50","10050","cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.",NA,NA
"51","10051","empty scrape, unknown cause no evidence confirming cause of failure",NA,NA
"52","10052","empty scrape, unknown cause no evidence confirming cause of failure",NA,NA
"53","10053","cattle tracks all through the nest area",NA,NA
"54","10054","coyote tracks at the nest, pictures from 13May",NA,NA
"55","10055","coyote tracks at the nest, pictures from 13May",NA,NA
"56","10056","ghost crab hole at nest- pictures from 13 May",NA,NA
"57","10057","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"58","10058","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"59","10059","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"60","10060","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"61","10061","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"62","10062","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"63","10063","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"64","10064","nest placement was below wrack line. 8 May- constant south winds brought surge with storms approaching late May 9th into May 10th.",NA,NA
"65","10065","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"66","10066","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"67","10067","coyote tracks nearby but could have failed beforehand",NA,NA
"68","10068",NA,NA,NA
"69","10069",NA,NA,NA
"70","10070",NA,NA,NA
"71","10071","9 May- scrape empty. No tracks around. Photo. ",NA,NA
"72","10072","5/24 2 chicks HOW OLD","???","how sure am I that this is 72? Dates are wrong, can't see whole stick, and don't see chicks. K & j checked it the morning of day i took cam. J not mentioned in survey data"
"73","10073","agitated adults divebombing me; maybe hatched",NA,NA
"74","10074",NA,NA,NA
"75","10075","unhatched egg shell ofund nearby",NA,NA
"76","10076",NA,NA,NA
"77","10077",NA,NA,NA
"78","10078","one chick banded on 5/25. Family observed about 100-150m from nest",NA,NA
"79","10079","appeared the nest had survived the surge from recent storms between visits, and photos on 12 May show fresh coyote tracks through the nest. ",NA,NA
"80","10080","17 May nest empty and E5 banded female and her mate observed selecting a new nest site in a new location. Unknown predator- no tracks observed.",NA,NA
"81","10081","likely storm surge but nest was unable to be checked due to flooding. Could have been depredated between visits.",NA,NA
"82","10082","storms between visits brought storm surge, overwashing the entire beach. This nest was mid-beach in the impact area",NA,NA
"83","10083","storms between visits brought storm surge, overwashing the entire beach. This nest was mid-beach in the impact area",NA,NA
"84","10084","storms between visits brought storm surge, overwashing the entire beach. This nest was mid-beach in the impact area",NA,NA
"85","10085","storm surge from recent weather events 9-10 May",NA,NA
"86","10086","13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",NA,NA
"87","10087","28 May- KBB has photos of nest crushed by vehicle/ATV. egg shells",NA,NA
"88","10088","17 May- KBB added symbolic fencing but had to pull it due to the adult hovering and not returning to the nest. Nest is on the edge of the dirt road through the cattle field. empty nest scrape on May 24. unknown cause. ",NA,NA
"89","10089",NA,NA,NA
"90","10090","trampled by cattle",NA,NA
"91","10091","3 June- SB had loud screaming/diving but no chicks found",NA,NA
"92","10092","not tracked to fate",NA,NA
"93","10093","not tracked to fate",NA,NA
"94","10094","1E found, half buried; nest area underwater",NA,NA
"95","10095","nest area underwater; no eggs found - may have been predated first?",NA,NA
"96","10096","nest area underwater; no eggs found - may have been predated first?",NA,NA
"97","10097","nest area underwater; no eggs found - may have been predated first?",NA,NA
"98","10098","nest area underwater; no eggs found - may have been predated first?",NA,NA
"99","10099","nest area underwater; no eggs found - may have been predated first?",NA,NA
